2026-04-07 02:48:25 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:25 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:25 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:25 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:25 | DEBUG | bot | [REDUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:26 | DEBUG | bot | [REDUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:26 | DEBUG | bot | [REDUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:26 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:27 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:27 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:27 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:27 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:28 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:28 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:28 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:28 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:28 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:28 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:28 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:29 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:29 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:29 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:29 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:30 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:30 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:32 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:32 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:32 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:32 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:32 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:32 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:33 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:35 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:36 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:36 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:36 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:37 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:38 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:39 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:39 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:39 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:40 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:40 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:40 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:41 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:42 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:42 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:42 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:43 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:43 | DEBUG | bot | [EDGEXUSDT] 🟢 Найден паттерн LONG! Переход к ценовому спреду...
2026-04-07 02:48:43 | DEBUG | bot | [EDGEXUSDT] Нет горячей цены для расчета спреда.
2026-04-07 02:48:43 | DEBUG | bot | [EDGEXUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:45 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:45 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
2026-04-07 02:48:48 | DEBUG | bot | [AAVEUSDT] 🟢 Найден паттерн SHORT! Переход к ценовому спреду...
2026-04-07 02:48:49 | DEBUG | bot | Кэш горячих цен обновлен. Binance: 705, Phemex: 531
2026-04-07 02:48:49 | DEBUG | bot | [AAVEUSDT] 🔴 Отбраковано: Не прошел фильтр ценового спреда (Binance vs Phemex).
