2026-04-07 02:48:22 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:22 | DEBUG | stakan_pattern | [CRVUSDT LONG] Анализ: spr3_pct=0.9662, roc_sma=0.4740, rate=2.04
2026-04-07 02:48:22 | DEBUG | stakan_pattern | [EDGEXUSDT SHORT] Анализ: spr3_pct=0.2835, roc_sma=0.0547, rate=5.18
2026-04-07 02:48:23 | DEBUG | stakan_pattern | [EDGEXUSDT SHORT] Анализ: spr3_pct=0.2835, roc_sma=0.0547, rate=5.18
2026-04-07 02:48:23 | DEBUG | stakan_pattern | [EDGEXUSDT SHORT] Анализ: spr3_pct=0.2835, roc_sma=0.0547, rate=5.18
2026-04-07 02:48:23 | DEBUG | stakan_pattern | [EDGEXUSDT SHORT] Анализ: spr3_pct=0.2835, roc_sma=0.0547, rate=5.18
2026-04-07 02:48:24 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5272, roc_sma=0.0368, rate=14.33
2026-04-07 02:48:24 | DEBUG | stakan_pattern | [EDGEXUSDT SHORT] Анализ: spr3_pct=0.2835, roc_sma=0.0525, rate=5.40
2026-04-07 02:48:24 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0217, rate=10.03
2026-04-07 02:48:24 | DEBUG | stakan_pattern | [EDGEXUSDT SHORT] Анализ: spr3_pct=0.2835, roc_sma=0.0525, rate=5.40
2026-04-07 02:48:24 | DEBUG | stakan_pattern | [ANKRUSDT LONG] Анализ: spr3_pct=0.3724, roc_sma=0.1848, rate=2.01
2026-04-07 02:48:24 | DEBUG | stakan_pattern | [ANKRUSDT LONG] Анализ: spr3_pct=0.3724, roc_sma=0.1848, rate=2.01
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [BATUSDT SHORT] Анализ: spr3_pct=0.2997, roc_sma=0.1205, rate=2.49
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [PIXELUSDT LONG] Анализ: spr3_pct=0.3215, roc_sma=0.1597, rate=2.01
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [PIXELUSDT SHORT] Анализ: spr3_pct=0.3221, roc_sma=0.1621, rate=1.99
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0130, rate=16.71
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [REDUSDT LONG] Анализ: spr3_pct=0.6037, roc_sma=0.0763, rate=7.92
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [REDUSDT LONG] Анализ: spr3_pct=0.4384, roc_sma=0.0763, rate=5.75
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [REDUSDT LONG] Анализ: spr3_pct=0.6037, roc_sma=0.0763, rate=7.92
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5272, roc_sma=0.0368, rate=14.33
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [PEOPLEUSDT LONG] Анализ: spr3_pct=0.3130, roc_sma=0.1555, rate=2.01
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [PEOPLEUSDT SHORT] Анализ: spr3_pct=0.3135, roc_sma=0.1577, rate=1.99
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5165, roc_sma=0.0368, rate=14.04
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5058, roc_sma=0.0368, rate=13.74
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5058, roc_sma=0.0368, rate=13.74
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.4950, roc_sma=0.0368, rate=13.45
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.4843, roc_sma=0.0368, rate=13.16
2026-04-07 02:48:25 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.4736, roc_sma=0.0368, rate=12.87
2026-04-07 02:48:26 | DEBUG | stakan_pattern | [REDUSDT LONG] Анализ: spr3_pct=0.4934, roc_sma=0.0763, rate=6.47
2026-04-07 02:48:26 | DEBUG | stakan_pattern | [REDUSDT LONG] Анализ: spr3_pct=0.3834, roc_sma=0.0763, rate=5.03
